,id,name,vector_id,datetime,score,rerunscore
63,25074,elog time gap vector at 2024-03-15 20:16:29Z,6,2024-03-15 13:16:29.702282-07,0.1063607530030654,0.000126811843006505
107,25246,elog time gap vector at 2024-03-16 15:02:18Z,6,2024-03-16 08:02:18.867118-07,0.1063607530030654,0.00211173639109536
178,25398,elog time gap vector at 2024-03-16 22:08:01Z,6,2024-03-16 15:08:01.999618-07,0.1063607530030654,0.000290416494161963
109,25538,elog time gap vector at 2024-03-17 15:29:30Z,6,2024-03-17 08:29:30.546169-07,0.1063607530030654,0.00391033363792848
183,25632,elog time gap vector at 2024-03-17 19:29:33Z,6,2024-03-17 12:29:33.231033-07,0.1063607530030654,0.000191693705114407
125,25950,elog time gap vector at 2024-03-18 21:24:16Z,6,2024-03-18 14:24:16.757546-07,0.1063607530030654,0.000206619663491511
57,26114,elog time gap vector at 2024-03-19 15:19:30Z,6,2024-03-19 08:19:30.945361-07,0.1063607530030654,0.00302947149477605
110,26240,elog time gap vector at 2024-03-19 20:59:43Z,6,2024-03-19 13:59:43.96597-07,0.1063607530030654,0.000235702591256528
186,26458,elog time gap vector at 2024-03-20 16:08:03Z,6,2024-03-20 09:08:03.27912-07,0.1063607530030654,0.000123725392100151
11,26656,elog time gap vector at 2024-03-21 07:06:09Z,6,2024-03-21 00:06:09.788729-07,0.1063607530030654,0.00116711678290414
35,26767,elog time gap vector at 2024-03-21 15:25:02Z,6,2024-03-21 08:25:02.569049-07,0.1063607530030654,0.00405051751586781
158,26854,elog time gap vector at 2024-03-21 19:27:04Z,6,2024-03-21 12:27:04.825251-07,0.1063607530030654,0.00739331802055785
168,26948,elog time gap vector at 2024-03-21 23:27:07Z,6,2024-03-21 16:27:07.549289-07,0.1063607530030654,0.0133916156813742
148,27196,elog time gap vector at 2024-03-22 19:31:18Z,6,2024-03-22 12:31:18.606831-07,0.1063607530030654,0.000189934144075258
166,27290,elog time gap vector at 2024-03-22 23:31:21Z,6,2024-03-22 16:31:21.554811-07,0.1063607530030654,0.000346071034393022
159,27434,elog time gap vector at 2024-03-23 12:43:07Z,6,2024-03-23 05:43:07.171226-07,0.1063607530030654,0.00249960534405355
